Date	Session	Split (500m)	Condition	Crew	Notes
January 06, 2026	Morning interval	2:58	Flat	Full crew	Good cadence, seat 3 catch late
January 08, 2026	Technique drill	3:10	Light chop	Full crew	Focus on exit blade angle
January 10, 2026	Timed 2k	2:54	Flat	Full crew	Personal best this season
January 13, 2026	Interval sets x4	2:57	Flat	Full crew	Seat 2-3 catch timing off interval 2-3
January 15, 2026	Paired drill	3:05	Light wind	Seats 2-3 only	Working on synchronization
January 17, 2026	Long paddle	3:02	Moderate	Full crew	Steady pace, hull felt fast post-service
January 20, 2026	Race simulation	2:56	Flat	Full crew	Best team split this training block
January 22, 2026	Recovery paddle	3:18	Flat	Full crew	Easy effort, technique focus
February 03, 2026	Interval sets x3	2:59	Light chop	Full crew	Strong finish on last interval
February 05, 2026	Timed 2k	2:53	Flat	Full crew	New team benchmark